City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
4,Rikitea,PF,scattered clouds,75.04,-23.1203,-134.9692,People ThankYou
8,Demyansk,RU,clear sky,62.58,57.643,32.466,Demyanskaya Gostinitsa
9,Harper,LR,overcast clouds,74.98,4.375,-7.7169,Screensaver
10,Kuusamo,FI,broken clouds,62.64,65.9667,29.1833,Hotel Kuusanka
12,Busselton,AU,clear sky,61.54,-33.65,115.3333,Observatory Guest House
21,Petropavlovsk-Kamchatskiy,RU,clear sky,68.59,53.0452,158.6483,The Hotel Petropavlovsky
23,Faanui,PF,clear sky,78.46,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Ivanivka,UA,clear sky,71.11,46.7208,34.553,Спорт Лото
26,Geraldton,AU,overcast clouds,73.81,-28.7667,114.6,Broadwater Mariner Resort
27,Canchungo,GW,light rain,78.93,12.0672,-16.0333,Aparthotel Napalach
31,Yulara,AU,clear sky,61.61,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
36,Refojos De Basto,PT,broken clouds,76.66,41.5132,-7.9952,Casa De Santa Comba
38,Houma,US,clear sky,77.0,29.5958,-90.7195,Courtyard by Marriott Houma
39,Khandyga,RU,light rain,69.06,62.6667,135.6,Apel'sin
43,Hay River,CA,broken clouds,67.98,60.8156,-115.7999,Ptarmigan Inn
52,Grand Gaube,MU,broken clouds,75.38,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
53,Caravelas,BR,scattered clouds,68.79,-17.7125,-39.2481,Pousada dos Navegantes
54,Carnarvon,AU,clear sky,74.16,-24.8667,113.6333,Hospitality Carnarvon
56,Takoradi,GH,overcast clouds,74.84,4.8845,-1.7554,Raybow International Hotel
58,Guaruja,BR,overcast clouds,65.91,-23.9931,-46.2564,Charme Hotel Guarujá
59,Jamestown,US,overcast clouds,69.39,42.097,-79.2353,Hampton Inn & Suites Jamestown
62,Puerto Ayora,EC,scattered clouds,69.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Los Llanos De Aridane,ES,overcast clouds,65.12,28.6585,-17.9182,Valle Aridane
64,Liepaja,LV,clear sky,66.18,56.5419,21.0367,Promenade Hotel
70,Boromo,BF,few clouds,76.73,11.75,-2.9333,Sama Camp
73,Mahebourg,MU,scattered clouds,75.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Atuona,PF,few clouds,78.06,-9.8,-139.0333,Villa Enata
75,Sao Filipe,CV,broken clouds,74.14,14.8961,-24.4956,Hotel Xaguate
78,Vao,NC,moderate rain,75.04,-22.6667,167.4833,Hotel Kou-Bugny
81,Lompoc,US,overcast clouds,60.01,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
82,Yellowknife,CA,light intensity shower rain,63.12,62.456,-114.3525,The Explorer Hotel
83,Ngaoundere,CM,overcast clouds,64.78,7.3167,13.5833,Hotel Mentong Palace
90,Balkhash,KZ,clear sky,79.41,46.844,74.9804,Family
92,Bethel,US,few clouds,77.36,41.3712,-73.414,Courtyard by Marriott Danbury
98,Vaini,TO,few clouds,75.36,-21.2,-175.2,Keleti Beach Resort
101,Ponta Delgada,PT,broken clouds,72.5,37.7333,-25.6667,Vila Nova Hotel
102,Ponta Do Sol,PT,scattered clouds,67.71,32.6667,-17.1,Hotel do Campo
105,Cayenne,GF,overcast clouds,78.1,4.9333,-52.3333,Hôtel Le Dronmi
107,Bowen,AU,clear sky,69.6,-20.0167,148.2333,Castle Motor Lodge Motel
109,Nouadhibou,MR,few clouds,67.44,20.931,-17.0347,El Medina
110,Bolobo,CD,overcast clouds,77.65,-2.1667,16.2333,Hotel de Stephen
112,Souillac,MU,light rain,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
118,Manjacaze,MZ,clear sky,64.36,-24.7117,33.8828,Hotel Gani
120,Berlevag,NO,clear sky,69.8,70.8578,29.0864,Kvitbrakka
123,Esperance,AU,clear sky,65.03,-33.8667,121.9,Hospitality Esperance
124,Pacific Grove,US,overcast clouds,62.82,36.6177,-121.9166,Lovers Point Inn
126,Placido De Castro,BR,few clouds,72.81,-10.3353,-67.1856,Hotel Carioca
129,Guerrero Negro,MX,scattered clouds,65.88,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
130,Nikolskoye,RU,clear sky,70.88,59.7035,30.7861,Tourist House - Sablino
131,Alta Floresta,BR,scattered clouds,71.56,-9.8756,-56.0861,Floresta Amazonica Hotel
133,Iwanai,JP,moderate rain,70.48,42.9744,140.5089,いわない高原ホテル
136,San Cristobal,VE,overcast clouds,71.78,7.7669,-72.225,Pirineos
137,North Platte,US,scattered clouds,73.38,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
139,Arraial Do Cabo,BR,scattered clouds,69.71,-22.9661,-42.0278,Pousada Porto Praia
140,Lagoa,PT,overcast clouds,68.74,39.05,-27.9833,Casa Das Faias
141,Avarua,CK,broken clouds,73.45,-21.2078,-159.775,Paradise Inn
145,Kadoshkino,RU,light rain,70.29,54.0257,44.4191,Grand Bakal Hotel
146,Ereymentau,KZ,broken clouds,76.08,51.6199,73.1033,"Gostinitsa ""Dostyk"""
150,Pundaguitan,PH,overcast clouds,78.96,6.3711,126.1689,Leonardo Family Beach House 1
153,Port Hueneme,US,overcast clouds,66.96,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
156,College,US,smoke,76.98,64.8569,-147.8028,Pike's Waterfront Lodge
157,Mogadishu,SO,broken clouds,75.07,2.0371,45.3438,Hotel Juba
160,Harrisburg,US,clear sky,71.98,40.2737,-76.8844,Hilton Harrisburg
163,Praia Da Vitoria,PT,broken clouds,72.75,38.7333,-27.0667,Hotel Branco I
167,Blackfoot,US,scattered clouds,79.88,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
169,Taunggyi,MM,broken clouds,76.08,20.7833,97.0333,True Treasure Hotel
171,Ambon,ID,broken clouds,78.24,-3.6954,128.1814,Swiss-Belhotel Ambon
175,Beira,MZ,mist,62.69,-19.8436,34.8389,Beira Terrace Hotel
176,Chimoio,MZ,fog,60.66,-19.1164,33.4833,Predio Livraria Ahmed
180,Tromso,NO,clear sky,63.37,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
181,Nome,US,clear sky,63.16,64.5011,-165.4064,Dredge 7 Inn
182,Benguela,AO,clear sky,67.1,-12.5763,13.4055,Hotel Praia Morena
185,Maragogi,BR,few clouds,73.85,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
188,Tonantins,BR,overcast clouds,71.62,-2.8731,-67.8022,Hotel Hortensias
191,Gnjilane,XK,few clouds,61.59,42.4604,21.4699,iTravel Agency • Western Union
192,Broome,US,clear sky,67.01,42.2506,-75.833,Chenango Valley State Park
193,Mackay,AU,clear sky,66.22,-21.15,149.2,International Lodge Motel
194,Matay,EG,clear sky,79.74,28.419,30.7792,Nag Aespen
195,Zhaoyuan,CN,overcast clouds,75.78,37.3592,120.3964,Super 8 Hotel Yantai Zhaoyuan Bus Terminal Branch
199,Tongchuan,CN,overcast clouds,76.32,35.0806,109.0897,Tongchuan Hotel
202,Kaniv,UA,overcast clouds,63.84,49.7518,31.46,Knyazha Hora
203,Acari,PE,scattered clouds,62.69,-15.4311,-74.6158,HOSPEDAJE XIMENA
205,High Level,CA,clear sky,62.71,58.5169,-117.136,Days Inn by Wyndham High Level
206,Buchanan,LR,light rain,74.97,5.8808,-10.0467,Kamaneahn Hotel Inc
207,La Ronge,CA,few clouds,71.85,55.1001,-105.2842,Northland Motor Hotel
209,Hamilton,US,clear sky,70.88,39.1834,-84.5333,Six Acres Bed & Breakfast
211,Kaura Namoda,NG,overcast clouds,77.52,12.5898,6.5779,Moonlight Hotel
212,Creel,MX,overcast clouds,60.91,27.75,-107.6333,The Lodge at Creel Hotel & SPA
214,Saint-Philippe,RE,light rain,72.21,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
215,Havoysund,NO,scattered clouds,68.23,70.9963,24.6622,Arctic View Glamping & Restaurant
217,Darhan,MN,clear sky,78.67,49.4867,105.9228,Buudai Hotel
223,Ginir,ET,broken clouds,61.97,7.1333,40.7,Sura Dare Village
225,Salalah,OM,haze,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
226,Oxford,GB,clear sky,69.06,51.7522,-1.256,Malmaison Oxford
228,Jesus Carranza,MX,overcast clouds,75.4,17.4333,-95.0333,Cuarto atras de una iglesia
229,Bilibino,RU,broken clouds,65.16,68.0546,166.4372,Gostinitsa Severyanka
235,Upata,VE,overcast clouds,73.18,8.0086,-62.3989,Posada Villa Nela
236,Huarmey,PE,clear sky,60.84,-10.0681,-78.1522,Hotel Miramar
238,Ust-Kut,RU,broken clouds,71.55,56.7938,105.7672,Otel Flagman
239,Cornwall,CA,overcast clouds,65.44,45.0181,-74.7281,Ramada by Wyndham Cornwall
240,Nagarote,NI,overcast clouds,76.68,12.2659,-86.5647,Hospedaje Nagarote
243,Hasaki,JP,light rain,77.4,35.7333,140.8333,Inubosaki Kanko Hotel
244,Nijmegen,NL,overcast clouds,72.16,51.8333,5.85,Bastion Hotel Nijmegen
245,Ribeira Grande,PT,broken clouds,69.84,38.5167,-28.7,Quinta da Meia Eira
249,Zhigansk,RU,scattered clouds,72.07,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
250,Axim,GH,overcast clouds,74.86,4.8699,-2.2405,Axim Beach Resort And Spa
251,Pochutla,MX,overcast clouds,76.82,15.7432,-96.4661,Hotel Posada San Jose
253,Yar-Sale,RU,overcast clouds,60.85,66.8333,70.8333,Yalemd
256,Kutum,SD,light rain,74.03,14.2,24.6667,Dibbo areaمنطقة دبو
262,Erdaojiang,CN,overcast clouds,70.88,41.7764,126.0319,Tonggang Hotel
263,Nemuro,JP,overcast clouds,63.14,43.3236,145.575,Hotel Nemuro Kaiyoutei
264,Samarai,PG,broken clouds,79.84,-10.6167,150.6667,Nuli Sapi
266,Kampot,KH,overcast clouds,75.25,10.6167,104.1833,Two Moons Hotel
269,Sao Joao Da Barra,BR,broken clouds,69.42,-21.6403,-41.0511,Pousada Porto De Canoas
270,Carlisle,US,scattered clouds,72.25,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
271,Namibe,AO,clear sky,61.23,-15.1961,12.1522,Hotel Chik Chik Namibe
273,Laguna,US,clear sky,76.6,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
274,Suntar,RU,broken clouds,75.51,62.1444,117.6319,Гостевая квартира
276,Pisa,IT,clear sky,78.89,43.7155,10.3966,Hotel Roma Srl
282,Itarema,BR,few clouds,77.85,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
283,Pimentel,PE,few clouds,61.11,-6.8367,-79.9342,Hotel Puerto del Sol
287,Panaba,MX,overcast clouds,77.41,21.2833,-88.2667,Hotel Don Fernando
288,Xining,CN,broken clouds,77.81,36.6167,101.7667,Super Leisure Hotel
290,Alyangula,AU,few clouds,71.62,-13.8483,136.4192,Groote Eylandt Lodge
291,Karratha,AU,clear sky,76.48,-20.7377,116.8463,ibis Styles Karratha
295,Goderich,CA,scattered clouds,62.91,43.7501,-81.7165,Harmony Inn
296,Bayir,TR,clear sky,73.92,37.2687,28.2167,Hotel Babadag
299,San-Pedro,CI,overcast clouds,74.64,4.7485,-6.6363,Hotel Maria
301,Kankakee,US,clear sky,70.29,41.15,-87.8667,Fairfield Inn by Marriott Kankakee Bourbonnais
303,Porto Seguro,BR,scattered clouds,66.72,-16.4497,-39.0647,Porto Cálem Praia Hotel
304,Lulea,SE,clear sky,66.27,65.5842,22.1547,Comfort Hotel Arctic
305,Adolfo Lopez Mateos,MX,broken clouds,66.92,28.4667,-107.3,Hotel Victor Inn
306,Tutoia,BR,broken clouds,76.86,-2.7619,-42.2744,Pousada Guará's
307,Krk,HR,scattered clouds,73.06,45.0258,14.5731,Koralj Sunny Hotel by Valamar
308,Tahe,CN,moderate rain,70.66,52.3333,124.7333,塔河宾馆
309,Valdosta,US,clear sky,76.91,30.8327,-83.2785,Courtyard by Marriott Valdosta
316,Vila Velha,BR,clear sky,69.94,-20.3297,-40.2925,Hotel Vitória Palace
320,Jiangyou,CN,moderate rain,77.41,31.7667,104.7167,Shangping Shuyuan Inn
326,Bonoua,CI,light rain,74.82,5.2741,-3.595,Hotel Bon Samaritian
328,Abha,SA,broken clouds,68.25,18.2164,42.5053,Abha Hotel
333,Borovoy,RU,clear sky,63.68,55.4333,86.0833,Tsimus
334,Fairbanks,US,smoke,77.0,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
336,Seoul,KR,heavy intensity rain,74.8,37.5683,126.9778,Lotte Hotel Seoul
338,Ouesso,CG,overcast clouds,74.01,1.6136,16.0517,ABENIE Hotel
340,Nyurba,RU,light rain,75.18,63.2842,118.3319,"Гостиница ""Comfort"""
341,Niksic,ME,clear sky,67.86,42.7731,18.9445,Hotel Trebjesa
342,Asau,RO,overcast clouds,65.32,46.4333,26.4,Casa Mika Ciobanus
343,Bambous Virieux,MU,light rain,75.22,-20.3428,57.7575,Casa Tia Villa
344,Paraiso,CR,overcast clouds,66.88,9.8383,-83.8656,Hotel Rinconcito Verde
346,Portland,US,few clouds,69.78,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
347,Ca Mau,VN,moderate rain,79.66,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
351,Antigonish,CA,clear sky,63.14,45.6169,-61.9986,Claymore Inn and Suites
352,Champerico,GT,broken clouds,77.74,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
355,Rucar,RO,overcast clouds,60.87,45.4,25.1667,Pensiunea Gaby
356,Pedasi,PA,overcast clouds,77.07,7.5333,-80.0333,Hotel Casa de Campo Pedasí
358,Port Hedland,AU,clear sky,78.85,-20.3167,118.5667,The Esplanade Hotel
359,Kinshasa,CD,mist,70.12,-4.3246,15.3215,Star Hotel II
